corpus_id,origin,archive_id,source_size,source_sha256,saving_product,export_match,export_size,export_sha256
mus-328209f319955e2e,filesystem,,7691,328209f319955e2e443aa3be9973ccea8c4fdbc4ea147a4fa498ee501b8f9d08,2007,adjacent-exact,24964,f64841b96b3ed90290e9854c8e55634410ff7d2188c5fc3e47bf429aec5d6880
mus-128dcc6587f4bbea,filesystem,,18374,128dcc6587f4bbeafb73e30679846159b0fd4e4602b2832e771910908f014f12,2007,adjacent-exact,42641,1ce882490c120f7ac910f9951bc953e607efdc85184f4ced3dddebabb13f6c57
mus-25c7f4e09d96af49,filesystem,,22203,25c7f4e09d96af49e842c92fc05f19031cbecf0c352fdf88be2b0a1bf6dc55b4,2007,adjacent-exact,48807,9543b86eed16590c8bf1569f3b58984ede293cbc8ea05786b0370c3c1fd1e2c5
mus-d185bc39e1b5d977,filesystem,,21336,d185bc39e1b5d977317560f774565f61bc15cef7e3e87004146cdef2f470c8d8,2007,adjacent-exact,44629,f059e92765eca792961adfd92b7366e45c7fbfcdbe96ba4ee7a9e991e496c2eb
mus-581ddcbe4df32cba,filesystem,,41182,581ddcbe4df32cba0807ad6462c75df13e320b61d1459f71717d7e52f47b63ce,2007,adjacent-exact,78519,bffdf5fa463578691d27acf22c2ffae3423a232610c3150a362825e8f259199a
mus-d5d50f02601bc3cb,filesystem,,23306,d5d50f02601bc3cb29c8469bb47ecb1bf16b48a9ed756bb8f5017c0fe0659fc5,2007,adjacent-exact,51923,38a355b06196901a40b903a7f30feafee25ee601e6bfa34e339dc9b84a08da02
mus-c470f302eb60bd90,filesystem,,53632,c470f302eb60bd90efd664b65ed55c605b7245c6607f90603d0c7888e2d236f8,2007,adjacent-exact,102920,d03a64f5d84a4b792ed94cbd7c197e3b7674aeb660902596f17c99af1fda4ee0
mus-bf49ac00bf98d299,filesystem,,240371,bf49ac00bf98d29964fc5f499f0f9ae3355aa2ec02e6645462e0442781d17212,2008,adjacent-exact,403288,73cf931e1fec297bad9c10b228b5d2235a0e469a2b9a65c3b54584a9f7f75145
mus-f8d3e3d077a114c3,filesystem,,229937,f8d3e3d077a114c3f528c37ad000c32536c646c8a9345aea92f87c97bad0d6d0,2008,adjacent-exact,390313,026a5446669aae6739c2fa3ba8a15aa7a76a074fecb1f005ef1672eda05bc1d3
mus-b9f728bf717f8405,filesystem,,152059,b9f728bf717f8405ba25586239084725fb674357640ac0b749177c6bf3847084,2008,adjacent-exact,259658,96644c4a31d9656e6cfe83d59ec4cdbe9d037606c97295cc7c1a3792c876fb07
mus-7f5d59fee468d1d4,filesystem,,86617,7f5d59fee468d1d492f79b5cf897d1529b5e81e62ad3d67fecb8c43a359a58a5,2008,adjacent-exact,157124,ffe5af7290fc1ae384454ee52fa8af017a65ead9e3355c822b38189ae82e4647
mus-bb9390c7c21b44e9,filesystem,,19335,bb9390c7c21b44e9533db0135bd04c468b06c4462850beaecc4ac1b7fa92aa8d,2008,adjacent-exact,45048,004d1b624ea0cc9aac2a7a95d37f5156980eb135877e0ca369af44cdb7710c31
mus-1134392648c2d4da,filesystem,,14815,1134392648c2d4dac4b5ccb4a987de1696c9ab89d998458afa1f7c61e292dba6,2008,adjacent-exact,38250,9d6830fbb15b2b6887a10238efc71e9c84d4e8ed5c617248844ded3c4badcad5
mus-057d4915a0fd9d61,filesystem,,241793,057d4915a0fd9d619ed88db35973c29d08b07ccbb9d9884c07c1960f749fbdf7,2008,adjacent-exact,403829,8477d1b2f708b813e5dcc1f38e08f26341dd502bb9050b71cc5144f081da2caf
mus-98fcad8bbbcc022f,filesystem,,230929,98fcad8bbbcc022ff0b820778f1aa599f38463bd6ede7129f615a44ae83a08e8,2008,adjacent-exact,391626,1bb3ec3abcb4242c1d45e14d4e4fa24f5c55be3f29005dea54dcab32504ab827
mus-edb65aa5ece1e002,filesystem,,67113,edb65aa5ece1e00222e577342ee7dd2d70e6a2c28a701e2b4c0bcdda749b6ae3,2008,adjacent-exact,122457,0d1933b7bb29354429589fc0f164cf45089c02e74ef525841a990bf8fae1cd75
