archive_id,member_id,member_size,member_sha256,is_enigma_binary,saving_product,member_name_has_extension,body_prefix,body_entropy,wrapper_endian,zlib_members,framed_records
arc-3cd66601b30b9429,mus-dfaa6dc438023d90,76796,dfaa6dc438023d90a047180c1f9dcbf42b1fbf36b6d1e2d2aec872eebb013478,True,2007,True,1a00dea10000941559fb789cecbd0778,7.9280,little,4,7644
arc-3cd66601b30b9429,mus-e11eeb5e29ceef6f,60273,e11eeb5e29ceef6f355ae3618231b8af26cb64af234601882a361707398b1cfe,True,2007,True,1a0068880000987a3322789cec9d077c,7.8867,little,4,6290
arc-3cd66601b30b9429,mus-49fe5862a0d35898,59808,49fe5862a0d358987dcec5ecf19dfca0c534291c9088a7164949917d804b7ec5,True,2007,True,1a001b880000e13f84b2789cec9d077c,7.8838,little,4,6191
arc-3cd66601b30b9429,mus-8c969d53f1c9b4e5,63944,8c969d53f1c9b4e52dea516d4ce58c9b910150cacb687af5b687daded5208815,True,2007,True,001a000094d8a608da41789cec7d0798,7.9324,big,4,4901
arc-3cd66601b30b9429,mus-9716a32ab892b11d,60875,9716a32ab892b11d51633c4f005e70bb2197b60986fcc316b05cb693e7d33bcf,True,2007,True,001a000091a784788828789cecbd0798,7.9242,big,4,4848
arc-3cd66601b30b9429,mus-93be37ad01db9d7d,54087,93be37ad01db9d7d8a484bdd0193c42541b908c43447568b4d908bee78e7b360,True,2007,True,1a002e82000035154090789cec9d077c,7.8562,little,4,5986
arc-3cd66601b30b9429,mus-252e41a053bf7c9a,63256,252e41a053bf7c9a45cd85ff31002d42ece8160157777de288df5aaf3a21fd14,True,2007,True,001a00009740384cb4d2789cecbd079c,7.9197,big,4,4921
arc-3cd66601b30b9429,mus-60176f94f206b0d8,54329,60176f94f206b0d809c5495a620e02b512763c7ff6adf1bc66d5e7dee42e73c3,True,2007,True,1a00d481000066ac2c20789cec9d077c,7.8678,little,4,4783
arc-3cd66601b30b9429,mus-0d7fc7a881b30b05,48797,0d7fc7a881b30b05debf8bed34044f2c5c01462136c256da7239f25d856380f0,True,2007,True,1a00ed7900000018ee84789cecbd077c,7.8592,little,4,4621
arc-3cd66601b30b9429,mus-9f4c3f53323d81bb,56074,9f4c3f53323d81bbe9cede7da019ec1d5b072be3a9cb74ab515313a2a6974c4d,True,2007,True,001a00008a30f6d93f62789cec7d0598,7.9228,big,4,4761
arc-3cd66601b30b9429,mus-d8ba3adc10386c75,52463,d8ba3adc10386c75b898015ca4f279484e939ddb469e9073c438295a6ac5aafd,True,2007,True,001a000083a7ff24c645789cecbd0798,7.8862,big,4,4677
arc-3cd66601b30b9429,mus-e3276a899f0cc5e9,53656,e3276a899f0cc5e9378c19386c95b1d5880f8c286deffdb1b609cf876da54cf1,True,2007,True,001a00008540bf4fee54789cec7d079c,7.8925,big,4,4712
arc-3cd66601b30b9429,mus-5cffd7c83fc039ed,58819,5cffd7c83fc039ed9abe113444e24bf12971a646fa36009a489a8da4026a144b,True,2007,True,001a00008df72a1b804c789cec7d0798,7.9227,big,4,4805
arc-3cd66601b30b9429,mus-5b9eedb0d4b8e3b8,58337,5b9eedb0d4b8e3b84e34c38d285b6497db93d2695e88a018f901c02ce3308a16,True,2007,True,001a00008bbb8d85229c789cecbd0798,7.9285,big,4,4780
arc-3cd66601b30b9429,mus-567c71b0563d60fb,58663,567c71b0563d60fbc5a11cfb66d7019fb6fd7a4dec2f1732ba143c0a0b4b02a2,True,2007,True,001a00008c5a161232d5789cec7d0798,7.9259,big,4,4788
arc-3cd66601b30b9429,mus-90972c0626061a6c,484703,90972c0626061a6cbbc642c0189470c41a6f9da54b381037ce6b51ff89fb6657,True,2007,True,1a0006320200c22f27ac789cecbd0798,7.9678,little,4,15027
arc-2da3cafcd199be91,mus-6aa11fa801b3c4ac,287812,6aa11fa801b3c4ac0d80ae5bf5f167f6ce6c2c54b3dcee1bd8327ee30c647da7,True,2012,True,1a005b2a020050ce0daf789cec5d7da0,7.9682,little,4,0
arc-f15d372e5ba5c760,mus-8a110f04bef8af70,270508,8a110f04bef8af701d6f88f293edc4e493cc1b7a97c1e487e95201338418d7e4,True,2012,True,1a00cced0100cb58dfb9789cec7d0bbc,7.9660,little,4,0
arc-ad30fe1758a3cd1a,mus-0f837f260ff45292,301912,0f837f260ff45292ad215602c1969ed7f085618b835a6e356414231d11407fa4,True,2012,True,1a0078150200881f03f7789cec7d0b9c,7.9765,little,4,0
arc-9e6b514531498fc9,mus-7d6085eee55402d3,160939,7d6085eee55402d3957e30f89d29648a732a236518891cb8e8740e4fd53f0956,True,2012,True,1a00080201006dfe6530789cecbd09bc,7.9397,little,4,11870
arc-e72d6bdc7993833a,mus-4a692fc75cfdec2b,234138,4a692fc75cfdec2bb0b2455849755c076e49187d0ccb1f8d43261d4d87f31c3b,True,2012,True,1a00f1cd0100877dc03b789cec7d09a0,7.9723,little,4,0
arc-db1998cca5b2ff78,mus-57d1ce297b251f51,12478,57d1ce297b251f51c2ec0ad790638cf43c115207c5865457725addf162e17962,False,2.6,False,00000012000002000000444100300000,3.7881,none,0,0
arc-b5caf55a79dd506c,mus-6970e0bde1a102f3,156120,6970e0bde1a102f3137a3e0aa2c724ac63e9b8530b78af344a615229200b9206,True,3.2,False,0001000114f6fffe3031000000000004,3.5745,none,0,0
arc-dc3e9a4d5444471a,mus-26a4b3fbc2bc36a1,87069,26a4b3fbc2bc36a188c04af66a61a97c42fbee91d7fa1ca9e17ff00749b39433,True,97,False,00010000c80600312661000100000000,3.4096,none,0,0
arc-31bb269bc609a289,mus-6298a9bc4e8c1255,362921,6298a9bc4e8c125585780e02e021ae907e71236571a7a64caf45c2ebe02bcfc7,False,2.6,True,000001d4000002000000444100480000,4.3906,none,0,0
arc-31bb269bc609a289,mus-ae5cb6e6f7235688,310697,ae5cb6e6f72356882364f11331fd952fd8379a09166b6d2fec27d7ff466f94ac,False,2.6,True,000001b30000020000004441003c0000,4.3822,none,0,0
arc-31bb269bc609a289,mus-bd0042f8e0354192,706473,bd0042f8e0354192fed2048f74960107032554d357c6ed797854dc3c443556a7,False,2.6,True,0000023c000002000000444100300000,4.4259,none,0,0
arc-31bb269bc609a289,mus-851e50ffa96534f6,201216,851e50ffa96534f6daa7fb7e5812424029b1a0a34ad076bf1ed13f88f2eb8e3e,False,unknown,True,6f6c6f6e63656c6c6f0d092831393932,5.0255,none,0,0
arc-31bb269bc609a289,mus-861b18ad06442d00,312233,861b18ad06442d008b9b28cc4e7ba8a72d7e2dbe8fda7a2beba12cea3598f8ab,False,2.6,True,000001b40000020000004441003c0000,4.3833,none,0,0
arc-31bb269bc609a289,mus-0bec475a6cf4c223,373673,0bec475a6cf4c2232bbcdec9154211d2f3ec5e854fe016d7f54b5e45dba53323,False,2.6,True,000001dd000002000000444100480000,4.3739,none,0,0
arc-31bb269bc609a289,mus-14f0c3cebdf8d3b1,375721,14f0c3cebdf8d3b1870ee6bf5f1c016d9da6ae75a41168561e03e1ebe7e1b916,False,2.6,True,000001db000002000000444100480000,4.3816,none,0,0
arc-aea972d694ed8044,mus-589fbabc147c8ab2,156161,589fbabc147c8ab2d60336c94cf24312949b7bf14b4ee379f2304226d22a16dc,True,97,False,000100015f3600312661000100000000,3.5875,none,0,0
arc-aea972d694ed8044,mus-eaec6c0a54726b27,215214,eaec6c0a54726b2736c4521a4b4fa549fbf2e63cd0b453b707f66a8745e7f68c,True,2000,False,000100017f6600312661000100000000,3.5686,none,0,0
arc-aea972d694ed8044,mus-49097c9324f7be56,19919,49097c9324f7be5688d014d25cba84d2a810e3c21935d8d7a38407313d708120,True,97,False,00010000465600312661000100000000,3.3131,none,0,0
arc-cea2d3e881811338,mus-3f3a3f3d864cff5b,93437,3f3a3f3d864cff5ba161fdd13dee60d28fede3c7eb8c46857a21774574be24f8,True,2000,False,00010000af7600312661000100000000,3.6158,none,0,0
arc-cea2d3e881811338,mus-0f14a087c75c39fc,140951,0f14a087c75c39fcdf2f1a7b3f3da331fdf6756f68c49ccec88cafa8953747c5,True,2000,False,00010000e87600312661000100000000,3.6461,none,0,0
arc-cea2d3e881811338,mus-03548555031d1ee1,144241,03548555031d1ee116c9a50599c5f07186633dc991854cae9794b461fb85a702,True,2000,False,00010000b8c600312661000100000000,3.4284,none,0,0
arc-cea2d3e881811338,mus-c0531a1457fe1411,135043,c0531a1457fe14119cea7266d648338e33d21f09cccaf2dbebeaefb269bd246a,True,2000,False,00010000da6600312661000100000000,3.6987,none,0,0
arc-c69c5dbad3bbb0b9,mus-27eb9f4012abd824,246238,27eb9f4012abd824c5dca4b14088480c37d3677ea03adad8e6fbe6400bd12578,True,2000,False,00010002d26600312661000100000000,3.7912,none,0,0
