pool,field0_hex,candidate_rank,xml_tag,files_tested,both_nonzero,nonzero_exact,all_file_exact_rate,pearson,score
others,0x00a9,1,metaKeySig,1382,926,926,1.0000,1.000000,3.000000
others,0x00a9,2,fretInst,1382,926,308,0.5398,0.991314,2.531111
others,0x00a9,3,metaDynam,1382,926,354,0.5072,0.977564,2.484800
others,0x00aa,1,metaRepeat,1382,932,932,1.0000,1.000000,3.000000
others,0x00aa,2,textRepeatText,1382,932,906,0.9653,0.957599,2.922867
others,0x00aa,3,textRepeatDef,1382,932,906,0.9653,0.957599,2.922867
others,0x00ab,1,metaShape,1382,930,930,1.0000,1.000000,3.000000
others,0x00ab,2,fretInst,1382,930,22,0.3329,0.941036,2.273887
others,0x00ab,3,namePosFullStyle,1382,920,78,0.3647,0.896142,2.260831
others,0x00ac,1,metaStaffStyle,1382,934,934,1.0000,1.000000,3.000000
others,0x00ac,2,execShape,1382,934,572,0.7308,0.962896,2.693721
others,0x00ac,3,staffStyle,1382,934,90,0.3690,0.987534,2.356564
others,0x00ad,1,metaTimeSig,1382,926,926,1.0000,1.000000,3.000000
others,0x00ad,2,staffStyle,1382,926,176,0.4313,0.956752,2.388011
others,0x00ad,3,metaDynam,1382,926,158,0.3654,0.949239,2.314651
others,0x00af,1,mmRest,1382,16,16,1.0000,1.000000,2.800000
others,0x00af,2,tempoDef,1382,16,8,0.9436,0.398341,1.741901
others,0x00af,3,repeatStaffListScore,1382,8,8,0.9247,0.092163,1.416910
others,0x00b0,1,measSpec,1382,1382,1382,1.0000,1.000000,3.000000
others,0x00b0,2,frameSpec,1382,1382,81,0.0586,0.735567,1.794178
others,0x00b0,3,staffSystemSpec,1382,1382,440,0.3184,0.273900,1.592280
others,0x00b1,1,measExprAssign,1382,928,148,0.4342,0.691321,2.125475
others,0x00b1,2,staffSystemSpec,1382,930,332,0.2402,0.604851,1.845082
others,0x00b1,3,timeUpper,1382,812,100,0.3169,0.401495,1.718427
others,0x00b3,1,namePosFull,1382,1028,732,0.7554,0.979100,2.734527
others,0x00b3,2,namePosAbbrv,1382,1028,732,0.7554,0.979100,2.734527
others,0x00b3,3,playbackRouteName,1382,1070,666,0.4819,0.957831,2.439742
others,0x00b4,1,namePosFullStyle,1382,946,894,0.9624,0.998771,2.961145
others,0x00b4,2,namePosAbbrvStyle,1382,946,894,0.9624,0.998771,2.961145
others,0x00b4,3,metaRepeat,1382,920,190,0.4443,0.914167,2.358451
others,0x00b5,1,namePosFull,1382,1028,732,0.7554,0.979100,2.734527
others,0x00b5,2,namePosAbbrv,1382,1028,732,0.7554,0.979100,2.734527
others,0x00b5,3,playbackRouteName,1382,1070,666,0.4819,0.957831,2.439742
others,0x00b6,1,namePosFullStyle,1382,946,894,0.9624,0.998771,2.961145
others,0x00b6,2,namePosAbbrvStyle,1382,946,894,0.9624,0.998771,2.961145
others,0x00b6,3,metaRepeat,1382,920,190,0.4443,0.914167,2.358451
others,0x00b7,1,textBlock,1382,1382,436,0.3155,0.999851,2.315335
others,0x00b7,2,playbackRouteName,1382,1382,294,0.2127,0.262230,1.474965
others,0x00b7,3,playbackRoute,1382,1382,294,0.2127,0.262230,1.474965
others,0x00b9,1,drumLibName,1382,682,20,0.0145,0.314489,1.328961
others,0x00b9,2,viSetup,1382,1356,134,0.0970,0.072186,1.169147
others,0x00b9,3,playDefs,1382,1382,134,0.0970,0.000000,1.096961
others,0x00ba,1,textBlock,1382,1382,294,0.2127,0.788929,2.001665
others,0x00ba,2,fontName,1382,1382,438,0.3169,0.590873,1.907805
others,0x00ba,3,timeUpper,1382,926,42,0.0304,0.823429,1.853819
others,0x00bb,1,pageSpec,1382,1382,1382,1.0000,1.000000,3.000000
others,0x00bb,2,partDef,1382,1382,1286,0.9305,0.011177,1.941712
others,0x00bb,3,playDefs,1382,1382,1288,0.9320,0.000000,1.931983
others,0x00be,1,playDefs,1382,1382,1382,1.0000,0.000000,2.000000
others,0x00be,2,partGlobals,1382,1382,1382,1.0000,0.000000,2.000000
others,0x00be,3,moviePlayerState,1382,1382,1382,1.0000,0.000000,2.000000
others,0x00bf,1,playDumpShape,1382,779,715,0.9522,0.992739,2.944982
others,0x00bf,2,shapeExprDef,1382,779,154,0.4146,0.894792,2.309408
others,0x00bf,3,metaRepeat,1382,753,94,0.3748,0.622127,1.996946
others,0x00c0,1,textExprDef,1382,1088,1026,0.9551,0.999982,2.955119
others,0x00c0,2,playDumpText,1382,1088,1026,0.9551,0.999982,2.955119
others,0x00c0,3,namePosFullStyle,1382,946,4,0.2156,0.872424,1.288054
others,0x00c2,1,keysAttrib,1382,890,728,0.7453,0.513944,2.259240
others,0x00c2,2,markingsDialogList,1382,1031,292,0.4298,0.486019,1.915831
others,0x00c2,3,timeUpper,1382,924,172,0.3430,0.554259,1.897240
others,0x00cb,1,repeatBack,1382,262,262,1.0000,1.000000,3.000000
others,0x00cb,2,tempoDef,1382,86,86,0.8726,0.034952,1.907601
others,0x00cb,3,repeatStaffListScore,1382,94,94,0.8712,0.022330,1.893531
others,0x00cc,1,repeatPassList,1382,12,12,1.0000,1.000000,2.600000
others,0x00cc,2,repeatEndingStart,1382,12,12,1.0000,1.000000,2.600000
others,0x00cc,3,textRepeatAssign,1382,4,4,0.9870,0.273876,1.460852
others,0x00ce,1,repeatPassList,1382,12,12,1.0000,1.000000,2.600000
others,0x00ce,2,repeatEndingStart,1382,12,12,1.0000,1.000000,2.600000
others,0x00ce,3,textRepeatAssign,1382,4,4,0.9870,0.273876,1.460852
others,0x00d4,1,separatesTextRepeat,1382,4,4,1.0000,1.000000,2.200000
others,0x00d4,2,textRepeatAssign,1382,4,4,0.9928,0.238965,1.431729
others,0x00d4,3,multiStaffInstGroup,1382,4,4,0.9074,0.161770,1.269151
others,0x00d5,1,shapeList,1382,1382,1382,1.0000,1.000000,3.000000
others,0x00d5,2,shapeData,1382,1382,1382,1.0000,1.000000,3.000000
others,0x00d5,3,shapeDef,1382,1382,442,0.3198,0.917567,2.237393
others,0x00d6,1,shapeDef,1382,1382,1382,1.0000,1.000000,3.000000
others,0x00d6,2,shapeList,1382,1382,442,0.3198,0.917567,2.237393
others,0x00d6,3,shapeData,1382,1382,442,0.3198,0.917567,2.237393
others,0x00d7,1,shapeList,1382,1382,1382,1.0000,1.000000,3.000000
others,0x00d7,2,shapeData,1382,1382,1382,1.0000,1.000000,3.000000
others,0x00d7,3,shapeDef,1382,1382,442,0.3198,0.917567,2.237393
others,0x00d9,1,smartShape,1382,652,650,0.9986,0.999887,2.998440
others,0x00d9,2,smartShapeMeasMark,1382,652,466,0.8654,0.954701,2.820113
others,0x00d9,3,measNumbRegion,1382,536,28,0.4298,0.357140,1.786952
others,0x00da,1,smartShapeMeasMark,1382,652,192,0.6671,0.823259,2.490409
others,0x00da,2,smartShape,1382,652,162,0.6454,0.708059,2.353501
others,0x00da,3,measNumbRegion,1382,536,162,0.5268,0.388348,1.915120
others,0x00db,1,drumLayoutPmmRef,1382,56,34,0.8857,0.386267,2.271940
others,0x00db,2,channelPlayData,1382,100,62,0.6454,0.040859,1.686300
others,0x00db,3,drumStaff,1382,32,10,0.8524,0.326783,1.679171
others,0x00de,1,ssLineStyle,1382,1382,1382,1.0000,1.000000,3.000000
others,0x00de,2,shapeList,1382,1382,412,0.2981,0.921081,2.219199
others,0x00de,3,shapeData,1382,1382,412,0.2981,0.921081,2.219199
others,0x00df,1,staffSystemSpec,1382,1382,1382,1.0000,1.000000,3.000000
others,0x00df,2,lockMeas,1382,1348,566,0.4096,0.758087,2.167639
others,0x00df,3,pageSpec,1382,1382,220,0.1592,0.728342,1.887532
others,0x00e1,1,repeatStaffListScore,1382,104,104,1.0000,1.000000,3.000000
others,0x00e1,2,repeatStaffListParts,1382,104,104,1.0000,1.000000,3.000000
others,0x00e1,3,repeatStaffListName,1382,104,104,1.0000,1.000000,3.000000
others,0x00e2,1,repeatStaffListScore,1382,104,104,1.0000,1.000000,3.000000
others,0x00e2,2,repeatStaffListParts,1382,104,104,1.0000,1.000000,3.000000
others,0x00e2,3,repeatStaffListName,1382,104,104,1.0000,1.000000,3.000000
others,0x00e4,1,repeatStaffListScore,1382,104,104,1.0000,1.000000,3.000000
others,0x00e4,2,repeatStaffListParts,1382,104,104,1.0000,1.000000,3.000000
others,0x00e4,3,repeatStaffListName,1382,104,104,1.0000,1.000000,3.000000
others,0x00e6,1,staffPlayData,1382,1382,1026,0.7424,0.976446,2.718849
others,0x00e6,2,playbackRouteName,1382,1382,772,0.5586,0.963609,2.522219
others,0x00e6,3,playbackRoute,1382,1382,772,0.5586,0.963609,2.522219
others,0x00e7,1,staffSpec,1382,1382,1024,0.7410,0.979218,2.720173
others,0x00e7,2,channelPlayData,1382,462,22,0.0159,0.951667,1.967586
others,0x00e7,3,staffPlayData,1382,1382,26,0.0188,0.942946,1.961760
others,0x00e8,1,metaStaffStyle,1382,934,506,0.6700,0.987287,2.657330
others,0x00e8,2,execShape,1382,944,166,0.4240,0.956219,2.380242
others,0x00e8,3,namePosFullStyle,1382,946,16,0.3155,0.920371,2.035856
others,0x00e9,1,namePosFull,1382,464,362,0.5181,0.895262,2.413352
others,0x00e9,2,namePosAbbrv,1382,464,362,0.5181,0.895262,2.413352
others,0x00e9,3,channelPlayData,1382,216,72,0.5384,0.826381,2.364731
others,0x00eb,1,shapeExprDef,1382,963,869,0.9320,0.999237,2.931220
others,0x00eb,2,playDumpShape,1382,781,156,0.4161,0.893466,2.309529
others,0x00eb,3,metaShape,1382,930,98,0.3741,0.713117,2.087212
others,0x00ee,1,timeUpper,1382,926,926,1.0000,1.000000,3.000000
others,0x00ee,2,keysAttrib,1382,892,298,0.5456,0.858214,2.403801
others,0x00ee,3,measExprAssign,1382,810,30,0.2663,0.369525,1.635806
others,0x00f0,1,tempoDef,1382,86,86,1.0000,1.000000,3.000000
others,0x00f0,2,repeatStaffListScore,1382,78,78,0.9754,0.751470,2.726868
others,0x00f0,3,repeatStaffListParts,1382,78,78,0.9754,0.751470,2.726868
others,0x00f1,1,textExprDef,1382,1088,1026,0.9551,0.999982,2.955119
others,0x00f1,2,playDumpText,1382,1088,1026,0.9551,0.999982,2.955119
others,0x00f1,3,namePosFullStyle,1382,946,4,0.2156,0.872424,1.288054
others,0x00f2,1,textExpressionEnclosure,1382,940,936,0.9971,0.999968,2.997074
others,0x00f2,2,metaTimeSig,1382,926,462,0.6541,0.586073,2.240198
others,0x00f2,3,staffStyle,1382,940,68,0.3531,0.738575,2.091686
others,0x00f3,1,textRepeatAssign,1382,14,14,1.0000,1.000000,2.700000
others,0x00f3,2,repeatPassList,1382,4,4,0.9870,0.273876,1.460852
others,0x00f3,3,repeatEndingStart,1382,4,4,0.9870,0.273876,1.460852
others,0x00f4,1,textRepeatText,1382,954,954,1.0000,1.000000,3.000000
